[1.865] reset_hw_wtchpt_module():  Hardware watchpoint supported by the target 
[2.735] wait_while_flash_busy_bank1():  Flash status busy
[2.736] wait_while_flash_busy_bank1():  Flash status busy
[2.736] wait_while_flash_busy_bank1():  Flash status busy
[2.736] wait_while_flash_busy_bank1():  Flash status busy
[2.737] wait_while_flash_busy_bank1():  Flash status busy
[2.737] wait_while_flash_busy_bank1():  Flash status busy
[2.738] wait_while_flash_busy_bank1():  Flash status busy
[2.738] wait_while_flash_busy_bank1():  Flash status busy
[2.738] wait_while_flash_busy_bank1():  Flash status busy
[2.739] wait_while_flash_busy_bank1():  Flash status busy
[2.739] wait_while_flash_busy_bank1():  Flash status busy
[2.740] wait_while_flash_busy_bank1():  Flash status busy
[2.740] wait_while_flash_busy_bank1():  Flash status busy
[2.741] wait_while_flash_busy_bank1():  Flash status busy
[2.741] wait_while_flash_busy_bank1():  Flash status busy
[2.741] wait_while_flash_busy_bank1():  Flash status busy
[2.742] wait_while_flash_busy_bank1():  Flash status busy
[2.742] wait_while_flash_busy_bank1():  Flash status busy
[2.743] wait_while_flash_busy_bank1():  Flash status busy
[2.743] wait_while_flash_busy_bank1():  Flash status busy
[2.743] wait_while_flash_busy_bank1():  Flash status busy
[2.744] wait_while_flash_busy_bank1():  Flash status busy
[2.744] wait_while_flash_busy_bank1():  Flash status busy
[2.744] wait_while_flash_busy_bank1():  Flash status busy
[2.745] wait_while_flash_busy_bank1():  Flash status busy
[2.745] wait_while_flash_busy_bank1():  Flash status busy
[2.745] wait_while_flash_busy_bank1():  Flash status busy
[2.746] wait_while_flash_busy_bank1():  Flash status busy
[2.747] wait_while_flash_busy_bank1():  Flash status busy
[2.747] wait_while_flash_busy_bank1():  Flash status busy
[2.747] wait_while_flash_busy_bank1():  Flash status busy
[2.748] wait_while_flash_busy_bank1():  Flash status busy
[2.748] wait_while_flash_busy_bank1():  Flash status busy
[2.748] wait_while_flash_busy_bank1():  Flash status busy
[2.749] wait_while_flash_busy_bank1():  Flash status busy
[2.749] wait_while_flash_busy_bank1():  Flash status busy
[2.750] wait_while_flash_busy_bank1():  Flash status busy
[2.750] wait_while_flash_busy_bank1():  FuncExit
[2.750] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.751] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.751] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.752] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.753] wait_while_flash_busy_bank1():  FuncEntry
[2.754] wait_while_flash_busy_bank1():  Flash status busy
[2.754] wait_while_flash_busy_bank1():  Flash status busy
[2.754] wait_while_flash_busy_bank1():  Flash status busy
[2.755] wait_while_flash_busy_bank1():  Flash status busy
[2.755] wait_while_flash_busy_bank1():  Flash status busy
[2.755] wait_while_flash_busy_bank1():  Flash status busy
[2.756] wait_while_flash_busy_bank1():  Flash status busy
[2.756] wait_while_flash_busy_bank1():  Flash status busy
[2.756] wait_while_flash_busy_bank1():  Flash status busy
[2.757] wait_while_flash_busy_bank1():  Flash status busy
[2.757] wait_while_flash_busy_bank1():  Flash status busy
[2.758] wait_while_flash_busy_bank1():  Flash status busy
[2.758] wait_while_flash_busy_bank1():  Flash status busy
[2.758] wait_while_flash_busy_bank1():  Flash status busy
[2.759] wait_while_flash_busy_bank1():  Flash status busy
[2.759] wait_while_flash_busy_bank1():  Flash status busy
[2.759] wait_while_flash_busy_bank1():  Flash status busy
[2.760] wait_while_flash_busy_bank1():  Flash status busy
[2.760] wait_while_flash_busy_bank1():  Flash status busy
[2.761] wait_while_flash_busy_bank1():  Flash status busy
[2.761] wait_while_flash_busy_bank1():  Flash status busy
[2.761] wait_while_flash_busy_bank1():  Flash status busy
[2.762] wait_while_flash_busy_bank1():  Flash status busy
[2.762] wait_while_flash_busy_bank1():  Flash status busy
[2.762] wait_while_flash_busy_bank1():  Flash status busy
[2.763] wait_while_flash_busy_bank1():  Flash status busy
[2.763] wait_while_flash_busy_bank1():  Flash status busy
[2.763] wait_while_flash_busy_bank1():  Flash status busy
[2.764] wait_while_flash_busy_bank1():  Flash status busy
[2.764] wait_while_flash_busy_bank1():  Flash status busy
[2.765] wait_while_flash_busy_bank1():  Flash status busy
[2.765] wait_while_flash_busy_bank1():  Flash status busy
[2.765] wait_while_flash_busy_bank1():  Flash status busy
[2.766] wait_while_flash_busy_bank1():  Flash status busy
[2.766] wait_while_flash_busy_bank1():  Flash status busy
[2.766] wait_while_flash_busy_bank1():  Flash status busy
[2.767] wait_while_flash_busy_bank1():  Flash status busy
[2.767] wait_while_flash_busy_bank1():  Flash status busy
[2.768] wait_while_flash_busy_bank1():  Flash status busy
[2.768] wait_while_flash_busy_bank1():  Flash status busy
[2.768] wait_while_flash_busy_bank1():  Flash status busy
[2.769] wait_while_flash_busy_bank1():  Flash status busy
[2.769] wait_while_flash_busy_bank1():  Flash status busy
[2.770] wait_while_flash_busy_bank1():  Flash status busy
[2.770] wait_while_flash_busy_bank1():  Flash status busy
[2.770] wait_while_flash_busy_bank1():  Flash status busy
[2.771] wait_while_flash_busy_bank1():  Flash status busy
[2.771] wait_while_flash_busy_bank1():  Flash status busy
[2.772] wait_while_flash_busy_bank1():  Flash status busy
[2.772] wait_while_flash_busy_bank1():  Flash status busy
[2.772] wait_while_flash_busy_bank1():  Flash status busy
[2.773] wait_while_flash_busy_bank1():  Flash status busy
[2.773] wait_while_flash_busy_bank1():  Flash status busy
[2.773] wait_while_flash_busy_bank1():  Flash status busy
[2.774] wait_while_flash_busy_bank1():  Flash status busy
[2.774] wait_while_flash_busy_bank1():  Flash status busy
[2.775] wait_while_flash_busy_bank1():  Flash status busy
[2.775] wait_while_flash_busy_bank1():  Flash status busy
[2.775] wait_while_flash_busy_bank1():  Flash status busy
[2.776] wait_while_flash_busy_bank1():  FuncExit
[2.776] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.776] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.777] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.778] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.779] wait_while_flash_busy_bank1():  FuncEntry
[2.779] wait_while_flash_busy_bank1():  Flash status busy
[2.780] wait_while_flash_busy_bank1():  Flash status busy
[2.780] wait_while_flash_busy_bank1():  Flash status busy
[2.781] wait_while_flash_busy_bank1():  Flash status busy
[2.781] wait_while_flash_busy_bank1():  Flash status busy
[2.782] wait_while_flash_busy_bank1():  Flash status busy
[2.782] wait_while_flash_busy_bank1():  Flash status busy
[2.782] wait_while_flash_busy_bank1():  Flash status busy
[2.783] wait_while_flash_busy_bank1():  Flash status busy
[2.783] wait_while_flash_busy_bank1():  Flash status busy
[2.783] wait_while_flash_busy_bank1():  Flash status busy
[2.783] wait_while_flash_busy_bank1():  Flash status busy
[2.784] wait_while_flash_busy_bank1():  Flash status busy
[2.784] wait_while_flash_busy_bank1():  Flash status busy
[2.785] wait_while_flash_busy_bank1():  Flash status busy
[2.785] wait_while_flash_busy_bank1():  Flash status busy
[2.785] wait_while_flash_busy_bank1():  Flash status busy
[2.786] wait_while_flash_busy_bank1():  Flash status busy
[2.786] wait_while_flash_busy_bank1():  Flash status busy
[2.786] wait_while_flash_busy_bank1():  Flash status busy
[2.787] wait_while_flash_busy_bank1():  Flash status busy
[2.787] wait_while_flash_busy_bank1():  Flash status busy
[2.787] wait_while_flash_busy_bank1():  Flash status busy
[2.788] wait_while_flash_busy_bank1():  Flash status busy
[2.788] wait_while_flash_busy_bank1():  Flash status busy
[2.788] wait_while_flash_busy_bank1():  Flash status busy
[2.789] wait_while_flash_busy_bank1():  Flash status busy
[2.789] wait_while_flash_busy_bank1():  Flash status busy
[2.790] wait_while_flash_busy_bank1():  Flash status busy
[2.790] wait_while_flash_busy_bank1():  Flash status busy
[2.790] wait_while_flash_busy_bank1():  Flash status busy
[2.791] wait_while_flash_busy_bank1():  Flash status busy
[2.791] wait_while_flash_busy_bank1():  Flash status busy
[2.791] wait_while_flash_busy_bank1():  Flash status busy
[2.792] wait_while_flash_busy_bank1():  Flash status busy
[2.792] wait_while_flash_busy_bank1():  Flash status busy
[2.792] wait_while_flash_busy_bank1():  Flash status busy
[2.793] wait_while_flash_busy_bank1():  Flash status busy
[2.793] wait_while_flash_busy_bank1():  Flash status busy
[2.794] wait_while_flash_busy_bank1():  Flash status busy
[2.794] wait_while_flash_busy_bank1():  Flash status busy
[2.794] wait_while_flash_busy_bank1():  Flash status busy
[2.795] wait_while_flash_busy_bank1():  Flash status busy
[2.795] wait_while_flash_busy_bank1():  Flash status busy
[2.797] wait_while_flash_busy_bank1():  Flash status busy
[2.797] wait_while_flash_busy_bank1():  Flash status busy
[2.797] wait_while_flash_busy_bank1():  Flash status busy
[2.797] wait_while_flash_busy_bank1():  Flash status busy
[2.798] wait_while_flash_busy_bank1():  Flash status busy
[2.798] wait_while_flash_busy_bank1():  Flash status busy
[2.799] wait_while_flash_busy_bank1():  Flash status busy
[2.799] wait_while_flash_busy_bank1():  Flash status busy
[2.800] wait_while_flash_busy_bank1():  Flash status busy
[2.800] wait_while_flash_busy_bank1():  Flash status busy
[2.801] wait_while_flash_busy_bank1():  Flash status busy
[2.801] wait_while_flash_busy_bank1():  FuncExit
[2.801] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.802] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.802] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.803] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.804] wait_while_flash_busy_bank1():  FuncEntry
[2.805] wait_while_flash_busy_bank1():  Flash status busy
[2.805] wait_while_flash_busy_bank1():  Flash status busy
[2.806] wait_while_flash_busy_bank1():  Flash status busy
[2.806] wait_while_flash_busy_bank1():  Flash status busy
[2.806] wait_while_flash_busy_bank1():  Flash status busy
[2.807] wait_while_flash_busy_bank1():  Flash status busy
[2.807] wait_while_flash_busy_bank1():  Flash status busy
[2.807] wait_while_flash_busy_bank1():  Flash status busy
[2.808] wait_while_flash_busy_bank1():  Flash status busy
[2.808] wait_while_flash_busy_bank1():  Flash status busy
[2.809] wait_while_flash_busy_bank1():  Flash status busy
[2.809] wait_while_flash_busy_bank1():  Flash status busy
[2.809] wait_while_flash_busy_bank1():  Flash status busy
[2.810] wait_while_flash_busy_bank1():  Flash status busy
[2.810] wait_while_flash_busy_bank1():  Flash status busy
[2.810] wait_while_flash_busy_bank1():  Flash status busy
[2.811] wait_while_flash_busy_bank1():  Flash status busy
[2.811] wait_while_flash_busy_bank1():  Flash status busy
[2.812] wait_while_flash_busy_bank1():  Flash status busy
[2.812] wait_while_flash_busy_bank1():  Flash status busy
[2.812] wait_while_flash_busy_bank1():  Flash status busy
[2.813] wait_while_flash_busy_bank1():  Flash status busy
[2.813] wait_while_flash_busy_bank1():  Flash status busy
[2.814] wait_while_flash_busy_bank1():  Flash status busy
[2.814] wait_while_flash_busy_bank1():  Flash status busy
[2.814] wait_while_flash_busy_bank1():  Flash status busy
[2.815] wait_while_flash_busy_bank1():  Flash status busy
[2.815] wait_while_flash_busy_bank1():  Flash status busy
[2.815] wait_while_flash_busy_bank1():  Flash status busy
[2.816] wait_while_flash_busy_bank1():  Flash status busy
[2.816] wait_while_flash_busy_bank1():  Flash status busy
[2.817] wait_while_flash_busy_bank1():  Flash status busy
[2.817] wait_while_flash_busy_bank1():  Flash status busy
[2.817] wait_while_flash_busy_bank1():  Flash status busy
[2.818] wait_while_flash_busy_bank1():  Flash status busy
[2.818] wait_while_flash_busy_bank1():  Flash status busy
[2.819] wait_while_flash_busy_bank1():  Flash status busy
[2.819] wait_while_flash_busy_bank1():  Flash status busy
[2.819] wait_while_flash_busy_bank1():  Flash status busy
[2.820] wait_while_flash_busy_bank1():  Flash status busy
[2.820] wait_while_flash_busy_bank1():  Flash status busy
[2.820] wait_while_flash_busy_bank1():  Flash status busy
[2.822] wait_while_flash_busy_bank1():  Flash status busy
[2.822] wait_while_flash_busy_bank1():  Flash status busy
[2.822] wait_while_flash_busy_bank1():  Flash status busy
[2.823] wait_while_flash_busy_bank1():  Flash status busy
[2.823] wait_while_flash_busy_bank1():  Flash status busy
[2.823] wait_while_flash_busy_bank1():  Flash status busy
[2.824] wait_while_flash_busy_bank1():  Flash status busy
[2.824] wait_while_flash_busy_bank1():  Flash status busy
[2.824] wait_while_flash_busy_bank1():  Flash status busy
[2.825] wait_while_flash_busy_bank1():  Flash status busy
[2.825] wait_while_flash_busy_bank1():  Flash status busy
[2.825] wait_while_flash_busy_bank1():  Flash status busy
[2.826] wait_while_flash_busy_bank1():  Flash status busy
[2.826] wait_while_flash_busy_bank1():  Flash status busy
[2.826] wait_while_flash_busy_bank1():  Flash status busy
[2.827] wait_while_flash_busy_bank1():  Flash status busy
[2.827] wait_while_flash_busy_bank1():  Flash status busy
[2.828] wait_while_flash_busy_bank1():  FuncExit
[2.828] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.828] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.829] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.830] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.831] wait_while_flash_busy_bank1():  FuncEntry
[2.831] wait_while_flash_busy_bank1():  Flash status busy
[2.831] wait_while_flash_busy_bank1():  Flash status busy
[2.832] wait_while_flash_busy_bank1():  Flash status busy
[2.832] wait_while_flash_busy_bank1():  Flash status busy
[2.833] wait_while_flash_busy_bank1():  Flash status busy
[2.833] wait_while_flash_busy_bank1():  Flash status busy
[2.834] wait_while_flash_busy_bank1():  Flash status busy
[2.835] wait_while_flash_busy_bank1():  Flash status busy
[2.835] wait_while_flash_busy_bank1():  Flash status busy
[2.835] wait_while_flash_busy_bank1():  Flash status busy
[2.836] wait_while_flash_busy_bank1():  Flash status busy
[2.836] wait_while_flash_busy_bank1():  Flash status busy
[2.837] wait_while_flash_busy_bank1():  Flash status busy
[2.837] wait_while_flash_busy_bank1():  Flash status busy
[2.837] wait_while_flash_busy_bank1():  Flash status busy
[2.838] wait_while_flash_busy_bank1():  Flash status busy
[2.838] wait_while_flash_busy_bank1():  Flash status busy
[2.839] wait_while_flash_busy_bank1():  Flash status busy
[2.839] wait_while_flash_busy_bank1():  Flash status busy
[2.839] wait_while_flash_busy_bank1():  Flash status busy
[2.840] wait_while_flash_busy_bank1():  Flash status busy
[2.840] wait_while_flash_busy_bank1():  Flash status busy
[2.841] wait_while_flash_busy_bank1():  Flash status busy
[2.841] wait_while_flash_busy_bank1():  Flash status busy
[2.841] wait_while_flash_busy_bank1():  Flash status busy
[2.842] wait_while_flash_busy_bank1():  Flash status busy
[2.842] wait_while_flash_busy_bank1():  Flash status busy
[2.842] wait_while_flash_busy_bank1():  Flash status busy
[2.843] wait_while_flash_busy_bank1():  Flash status busy
[2.843] wait_while_flash_busy_bank1():  Flash status busy
[2.844] wait_while_flash_busy_bank1():  Flash status busy
[2.844] wait_while_flash_busy_bank1():  Flash status busy
[2.844] wait_while_flash_busy_bank1():  Flash status busy
[2.845] wait_while_flash_busy_bank1():  Flash status busy
[2.845] wait_while_flash_busy_bank1():  Flash status busy
[2.846] wait_while_flash_busy_bank1():  Flash status busy
[2.846] wait_while_flash_busy_bank1():  Flash status busy
[2.846] wait_while_flash_busy_bank1():  Flash status busy
[2.847] wait_while_flash_busy_bank1():  Flash status busy
[2.847] wait_while_flash_busy_bank1():  Flash status busy
[2.847] wait_while_flash_busy_bank1():  Flash status busy
[2.848] wait_while_flash_busy_bank1():  Flash status busy
[2.848] wait_while_flash_busy_bank1():  Flash status busy
[2.849] wait_while_flash_busy_bank1():  Flash status busy
[2.849] wait_while_flash_busy_bank1():  Flash status busy
[2.849] wait_while_flash_busy_bank1():  Flash status busy
[2.850] wait_while_flash_busy_bank1():  Flash status busy
[2.850] wait_while_flash_busy_bank1():  Flash status busy
[2.851] wait_while_flash_busy_bank1():  Flash status busy
[2.851] wait_while_flash_busy_bank1():  Flash status busy
[2.851] wait_while_flash_busy_bank1():  Flash status busy
[2.852] wait_while_flash_busy_bank1():  Flash status busy
[2.852] wait_while_flash_busy_bank1():  Flash status busy
[2.852] wait_while_flash_busy_bank1():  Flash status busy
[2.853] wait_while_flash_busy_bank1():  FuncExit
[2.853] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.854] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.854] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.855] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.856] wait_while_flash_busy_bank1():  FuncEntry
[2.856] wait_while_flash_busy_bank1():  Flash status busy
[2.857] wait_while_flash_busy_bank1():  Flash status busy
[2.857] wait_while_flash_busy_bank1():  Flash status busy
[2.858] wait_while_flash_busy_bank1():  Flash status busy
[2.858] wait_while_flash_busy_bank1():  Flash status busy
[2.859] wait_while_flash_busy_bank1():  Flash status busy
[2.859] wait_while_flash_busy_bank1():  Flash status busy
[2.859] wait_while_flash_busy_bank1():  Flash status busy
[2.860] wait_while_flash_busy_bank1():  Flash status busy
[2.860] wait_while_flash_busy_bank1():  Flash status busy
[2.861] wait_while_flash_busy_bank1():  Flash status busy
[2.861] wait_while_flash_busy_bank1():  Flash status busy
[2.861] wait_while_flash_busy_bank1():  Flash status busy
[2.862] wait_while_flash_busy_bank1():  Flash status busy
[2.863] wait_while_flash_busy_bank1():  Flash status busy
[2.863] wait_while_flash_busy_bank1():  Flash status busy
[2.863] wait_while_flash_busy_bank1():  Flash status busy
[2.864] wait_while_flash_busy_bank1():  Flash status busy
[2.864] wait_while_flash_busy_bank1():  Flash status busy
[2.865] wait_while_flash_busy_bank1():  Flash status busy
[2.865] wait_while_flash_busy_bank1():  Flash status busy
[2.865] wait_while_flash_busy_bank1():  Flash status busy
[2.866] wait_while_flash_busy_bank1():  Flash status busy
[2.866] wait_while_flash_busy_bank1():  Flash status busy
[2.866] wait_while_flash_busy_bank1():  Flash status busy
[2.867] wait_while_flash_busy_bank1():  Flash status busy
[2.867] wait_while_flash_busy_bank1():  Flash status busy
[2.868] wait_while_flash_busy_bank1():  Flash status busy
[2.868] wait_while_flash_busy_bank1():  Flash status busy
[2.868] wait_while_flash_busy_bank1():  Flash status busy
[2.869] wait_while_flash_busy_bank1():  Flash status busy
[2.869] wait_while_flash_busy_bank1():  Flash status busy
[2.869] wait_while_flash_busy_bank1():  Flash status busy
[2.870] wait_while_flash_busy_bank1():  Flash status busy
[2.870] wait_while_flash_busy_bank1():  Flash status busy
[2.870] wait_while_flash_busy_bank1():  Flash status busy
[2.871] wait_while_flash_busy_bank1():  Flash status busy
[2.871] wait_while_flash_busy_bank1():  Flash status busy
[2.871] wait_while_flash_busy_bank1():  Flash status busy
[2.872] wait_while_flash_busy_bank1():  Flash status busy
[2.872] wait_while_flash_busy_bank1():  Flash status busy
[2.873] wait_while_flash_busy_bank1():  Flash status busy
[2.873] wait_while_flash_busy_bank1():  Flash status busy
[2.873] wait_while_flash_busy_bank1():  Flash status busy
[2.874] wait_while_flash_busy_bank1():  Flash status busy
[2.874] wait_while_flash_busy_bank1():  Flash status busy
[2.874] wait_while_flash_busy_bank1():  Flash status busy
[2.875] wait_while_flash_busy_bank1():  Flash status busy
[2.875] wait_while_flash_busy_bank1():  Flash status busy
[2.876] wait_while_flash_busy_bank1():  Flash status busy
[2.876] wait_while_flash_busy_bank1():  Flash status busy
[2.876] wait_while_flash_busy_bank1():  Flash status busy
[2.877] wait_while_flash_busy_bank1():  Flash status busy
[2.878] wait_while_flash_busy_bank1():  Flash status busy
[2.878] wait_while_flash_busy_bank1():  FuncExit
[2.878] lock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.879] lock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.880] unlock_flash_prg_and_erase_ctrler_bank1():  FuncEntry
[2.882] unlock_flash_prg_and_erase_ctrler_bank1():  FuncExit
[2.884] wait_while_flash_busy_bank1():  FuncEntry
[2.884] wait_while_flash_busy_bank1():  Flash status busy
[2.885] wait_while_flash_busy_bank1():  Flash status busy
[2.885] wait_while_flash_busy_bank1():  Flash status busy
[2.885] wait_while_flash_busy_bank1():  Flash status busy
[2.886] wait_while_flash_busy_bank1():  Flash status busy
[2.886] wait_while_flash_busy_bank1():  Flash status busy
[2.887] wait_while_flash_busy_bank1():  Flash status busy
[2.887] wait_while_flash_busy_bank1():  Flash status busy
[2.888] wait_while_flash_busy_bank1():  Flash status busy
[2.888] wait_while_flash_busy_bank1():  Flash status busy
[2.888] wait_while_flash_busy_bank1():  Flash status busy
[2.889] wait_while_flash_busy_bank1():  Flash status busy
[2.889] wait_while_flash_busy_bank1():  Flash status busy
[2.890] wait_while_flash_busy_bank1():  Flash status busy
[2.890] wait_while_flash_busy_bank1():  Flash status busy
[2.890] wait_while_flash_busy_bank1():  Flash status busy
[2.891] wait_while_flash_busy_bank1():  Flash status busy
[2.891] wait_while_flash_busy_bank1():  Flash status busy
[2.892] wait_while_flash_busy_bank1():  Flash status busy
[2.892] wait_while_flash_busy_bank1():  Flash status busy
[2.892] wait_while_flash_busy_bank1():  Flash status busy
[2.893] wait_while_flash_busy_bank1():  Flash status busy
[2.893] wait_while_flash_busy_bank1():  Flash status busy
[2.893] wait_while_flash_busy_bank1():  Flash status busy
[2.894] wait_while_flash_busy_bank1():  Flash status busy
[2.894] wait_while_flash_busy_bank1():  Flash status busy
[2.894] wait_while_flash_busy_bank1():  Flash status busy
[2.895] wait_while_flash_busy_bank1():  Flash status busy
